station,date,daily_entries
1 AVE,2013-09-14,21326.0
1 AVE,2013-09-15,15490.0
1 AVE,2013-09-16,19101.0
1 AVE,2013-09-17,23844.0
1 AVE,2013-09-18,24654.0
1 AVE,2013-09-19,24693.0
1 AVE,2013-09-20,25347.0
1 AVE,2013-09-21,22813.0
1 AVE,2013-09-22,18339.0
1 AVE,2013-09-23,20033.0
1 AVE,2013-09-24,23590.0
1 AVE,2013-09-25,26847.0
1 AVE,2013-09-26,22540.0
1 AVE,2013-09-27,25134.0
1 AVE,2013-09-28,21778.0
1 AVE,2013-09-29,16076.0
1 AVE,2013-09-30,18489.0
1 AVE,2013-10-01,23344.0
1 AVE,2013-10-02,24184.0
1 AVE,2013-10-03,25983.0
1 AVE,2013-10-04,24105.0
1 AVE,2013-10-05,21539.0
1 AVE,2013-10-06,15628.0
1 AVE,2013-10-07,18495.0
1 AVE,2013-10-08,23006.0
1 AVE,2013-10-09,24400.0
1 AVE,2013-10-10,25114.0
1 AVE,2013-10-11,25347.0
1 AVE,2013-10-12,22224.0
1 AVE,2013-10-13,18648.0
1 AVE,2013-10-14,18618.0
1 AVE,2013-10-15,20635.0
1 AVE,2013-10-16,27809.0
1 AVE,2013-10-17,21334.0
1 AVE,2013-10-18,25672.0
1 AVE,2013-10-19,22962.0
1 AVE,2013-10-20,18520.0
1 AVE,2013-10-21,19516.0
1 AVE,2013-10-22,23649.0
1 AVE,2013-10-23,24591.0
1 AVE,2013-10-24,25054.0
1 AVE,2013-10-25,26508.0
1 AVE,2013-10-26,23073.0
1 AVE,2013-10-27,19526.0
1 AVE,2013-10-28,19983.0
1 AVE,2013-10-29,23894.0
1 AVE,2013-10-30,24605.0
1 AVE,2013-10-31,25333.0
1 AVE,2013-11-01,28773.0
1 AVE,2013-11-02,23037.0
1 AVE,2013-11-03,19058.0
1 AVE,2013-11-04,19695.0
1 AVE,2013-11-05,22934.0
1 AVE,2013-11-06,22810.0
1 AVE,2013-11-07,25654.0
1 AVE,2013-11-08,26127.0
1 AVE,2013-11-09,24511.0
1 AVE,2013-11-10,20849.0
1 AVE,2013-11-11,18375.0
1 AVE,2013-11-12,22513.0
1 AVE,2013-11-13,25332.0
1 AVE,2013-11-14,25290.0
1 AVE,2013-11-15,25173.0
1 AVE,2013-11-16,13724.0
1 AVE,2013-11-17,37.0
1 AVE,2013-11-18,10376.0
1 AVE,2013-11-19,23727.0
1 AVE,2013-11-20,24187.0
1 AVE,2013-11-21,25013.0
1 AVE,2013-11-22,26518.0
1 AVE,2013-11-23,23055.0
1 AVE,2013-11-24,18945.0
1 AVE,2013-11-25,18905.0
1 AVE,2013-11-26,24808.0
1 AVE,2013-11-27,23615.0
1 AVE,2013-11-28,17340.0
1 AVE,2013-11-29,10115.0
1 AVE,2013-11-30,14125.0
1 AVE,2013-12-01,13765.0
1 AVE,2013-12-02,17257.0
1 AVE,2013-12-03,23270.0
1 AVE,2013-12-04,24164.0
1 AVE,2013-12-05,25219.0
1 AVE,2013-12-06,24609.0
1 AVE,2013-12-07,20990.0
1 AVE,2013-12-08,19756.0
1 AVE,2013-12-09,19499.0
1 AVE,2013-12-10,24423.0
1 AVE,2013-12-11,24418.0
1 AVE,2013-12-12,25290.0
1 AVE,2013-12-13,26421.0
1 AVE,2013-12-14,23965.0
1 AVE,2013-12-15,20566.0
1 AVE,2013-12-16,19939.0
1 AVE,2013-12-17,24899.0
1 AVE,2013-12-18,24015.0
1 AVE,2013-12-19,25302.0
1 AVE,2013-12-20,24496.0
1 AVE,2013-12-21,21230.0
1 AVE,2013-12-22,15922.0
1 AVE,2013-12-23,15296.0
1 AVE,2013-12-24,16411.0
1 AVE,2013-12-25,9980.0
1 AVE,2013-12-26,9395.0
1 AVE,2013-12-27,15284.0
1 AVE,2013-12-28,16222.0
1 AVE,2013-12-29,14796.0
1 AVE,2013-12-30,15104.0
1 AVE,2013-12-31,20929.0
103 ST,2013-01-01,0.0
103 ST,2013-01-02,28944.0
103 ST,2013-01-03,33186.0
103 ST,2013-01-04,33969.0
103 ST,2013-01-05,25309.0
103 ST,2013-01-06,19826.0
103 ST,2013-01-07,28177.0
103 ST,2013-01-08,33094.0
103 ST,2013-01-09,34137.0
103 ST,2013-01-10,33525.0
103 ST,2013-01-11,34650.0
103 ST,2013-01-12,25765.0
103 ST,2013-01-13,21303.0
103 ST,2013-01-14,28265.0
103 ST,2013-01-15,33269.0
103 ST,2013-01-16,31529.0
103 ST,2013-01-17,34148.0
103 ST,2013-01-18,34873.0
103 ST,2013-01-19,25556.0
103 ST,2013-01-20,20613.0
103 ST,2013-01-21,20129.0
103 ST,2013-01-22,29677.0
103 ST,2013-01-23,32706.0
103 ST,2013-01-24,32868.0
103 ST,2013-01-25,33418.0
103 ST,2013-01-26,24790.0
103 ST,2013-01-27,20001.0
103 ST,2013-01-28,27964.0
103 ST,2013-01-29,34040.0
103 ST,2013-01-30,35070.0
103 ST,2013-01-31,35097.0
103 ST,2013-02-01,35952.0
103 ST,2013-02-02,26811.0
103 ST,2013-02-03,20387.0
103 ST,2013-02-04,30150.0
103 ST,2013-02-05,34419.0
103 ST,2013-02-06,35431.0
103 ST,2013-02-07,36193.0
103 ST,2013-02-08,35253.0
103 ST,2013-02-09,18580.0
103 ST,2013-02-10,20478.0
103 ST,2013-02-11,30134.0
103 ST,2013-02-12,35045.0
103 ST,2013-02-13,36402.0
103 ST,2013-02-14,36292.0
103 ST,2013-02-15,36276.0
103 ST,2013-02-16,25696.0
103 ST,2013-02-17,19559.0
103 ST,2013-02-18,18484.0
103 ST,2013-02-19,27931.0
103 ST,2013-02-20,33853.0
103 ST,2013-02-21,35121.0
103 ST,2013-02-22,34672.0
103 ST,2013-02-23,26041.0
103 ST,2013-02-24,17237.0
103 ST,2013-02-25,28300.0
103 ST,2013-02-26,34179.0
103 ST,2013-02-27,34823.0
103 ST,2013-02-28,35394.0
103 ST,2013-03-01,35666.0
103 ST,2013-03-02,26318.0
